0,1,2,3,4,5,6,7,8
미열과 오한 어지러움이 있습니다  ,기침 가래 설사 복통 근육통 아무것도 없습니다  미열이 조금나는둣하여 오한이있고 조금의 어지러움만 있습니다   약먹으면 괜찮을까요   몸살인가요   코로나 자가키트는 음성 나왓습니다   ,호흡기내과,숨이 이상한거같아요,아무때나 갑자기 숨이 막히는거같고 너무 답답한거같아요 숨을 크게 들이마쉬어도 기다리는거밖에 없는가같은데 아는거 있으신가요   ,호흡기내과,손발톱이 파래졌어요  사진 첨부 ,언제부터 그랬는지는 정확히는 모르겠고 손발톱이 한눈에 봐도 파란데 얼핏 찾아보니 폐렴 증상이라고 하던데 평소 감기는 걸려도 호흡기가 안 좋거나 하지는 않고 폐렴 증상도 딱히 없어 전혀 폐렴 같진 않은데 이거 왜 이런 건가요 ,호흡기내과
침삼킬때마다 통증보다는 불편함이 좀 있는데요  두통과 기침이 좀 있고 코막힘 그리고 약간의 미열정도 있는거 같습니다  좀 찾아봤을때는 편도염 혹,침삼킬때마다 통증보다는 불편함이 좀 있는데요  두통과 기침이 좀 있고 코막힘 그리고 약간의 미열정도 있는거 같습니다   좀 찾아봤을때는 편도염 혹은 목감기 증상과 비슷한거 같은데 이사진으로도 편도염인지 알수 있나요 ,호흡기내과,윗몸일으키기 장 이탈 ,안녕하세요  최근에 윗몸 일으키기를 하거나 머리와 허리를 깊숙이 숙이고 팔을 들어 올리는 스트레칭을 할 때 어느 순간에 장이 이탈한듯한 불편한 느낌이 들고 만져 보면 왼쪽배에 볼룩 튀어 나와있어요 손으로 살살 문질러주면 금새 들어가긴 하는데  이거 그냥 방치해도 되나요  수술 경험이 전무한데 왜 이럴까요 ,호흡기내과,독감 예방주사 하루에  번 연달아서 접종   ,실수로 하루에  번 독감예방접종 했는데 위험한가요   제발 전문가만 답변해주세요,호흡기내과
호흡곤란    주 정도 살짝 있는 것 같은데 코로나인가요 ,스트레스 많이 쌓인 것 같기도 하고 비염도 좀 있는데 숨 좀 쉬기 힘든 것 말고는 아무 증상이 없는데 코로나인가요 ,호흡기내과,예방접종 맞고 화이자 맞아도되나여 ,점심때 예방접종  종 독감 폐렴 대장포진접종 뭐뭐 맞고싶은데 이거 맞고 다음날에 화이자 맞으러 가도되나요   ,호흡기내과,목뒤에서부터 머리가 울리는 느낌   ,일요일에 급체해서 하루종일 오바이트했었는데 오바이트 하던중에 목뒤 머리쪽에 하도 힘을 줘서그런건지 뭔가 툭 하는느낌에 갑자기 머리가 엄청나게아프더라구요   일이 지난 지금도 기침좀 하면 그 목뒤쪽에서부터 울림   이라해야하나 지이이잉하는 느낌이 계속나는데  대략적인 이유가 뭐가있을까요  ,호흡기내과
폐렴구균 접종,  살 여자입니다  폐렴구균 예방접종 가능한가요  가능하다면 종류가  가지있는데 어떤 걸로 맞아야되나요 ,호흡기내과,건강검진에서 비결핵성질환의심 받아서요,이제   세 남자입니다  검진받은 의원에서 비결핵성 질환의심이라해서 다시 가서 상담하니 폐가 깨끗해보이진 않는다고 하시더라고요  담배도 하지 않고 술도 마시지 않습니다   기침이 심하지 않고 가끔 목이 간질간질해서 한 두번 하는 정도 입니다  그래서  일간 처방받은 약 먹고 다시 xray를 찍었는데 나아지지 않아서 의뢰서를 써주셔서 ct를 찍으러 가기로 했습니다    현 상황이 이런데 설날에 가족들을 만나러 가도 되는건지 모르겠습니다   혹시나 싶어 코로나 검사도 했는데 음성이었고요  만약 결핵이면 옮길수도 있지 않나 싶어서요   ct검사 받을 때까진 다른 사람들 안만나는게 좋을까요 ,호흡기내과,잠복결핵 전염,제가 잠복결핵 보균자인데 동생이 제꺼 면도기를 마움대로 썻더라고요 그래서 그런데 잠복결핵 혈액으로 전염이 되나요 ,호흡기내과
잔여백신 예약,작년에는 병원마다 잔여백신이 자주 보였었는데 요즘에는 안 보이는 이유가 뭔지 알고 싶습니다,호흡기내과,만약 코로나 감염,코로나 감염되면 집에 있나요 아님 어디로 가서 생활하나요   ,호흡기내과,기관지 확장증이 있는데 백신 맞아도 상관 없나요 ,다음주에 백신을 맞는데 기관지 확장증 때문에 맞아도 되는지 병원에 물어보려고 했는데 하필이면 오늘 병원 문을 닫아서요 혹시 몰라서 여쭤봅니다,호흡기내과
확진자 역학조사  기입중에,확진자여서 역학조사 기입하는데 헷갈리는 문항이 있어서요    동거인은 코로나 감염을 진단  받은적 있나요 라는 문항이  검사받은적 있는건지 아님 걸린적있는건지를 묻는건가요 ,호흡기내과,코로나 치료중 운동,코로나 확진받은후 완치 되기 전까지 근력운동 해도 되나요  ,호흡기내과,코로나 백신 화이자   차       토  접종 후  차 접종이        토  예정인데  차 접종을 일주일 앞당겨서        토 에 맞아,코로나 백신 화이자   차       토  접종 후  차 접종이        토  예정인데  차 접종을 일주일 앞당겨서        토 에 맞아도 무방할까요 ,호흡기내과
밀접접촉자 자기격리 해야하나요,같은 반 제 단짝이 코로나 양성인데 저도 격리 해야하나요     오늘 양성 나왔다고 해서 제가 잠복기일 수도 있을 것 같아서요  학교는 어떡해야할까요 ,호흡기내과,폐렴나으면 피가래도,폐렴때문에 피가래가 나오는데 폐렴 완치되면 피가래도 정상가래색으로 돌아오나요  ,호흡기내과,이게 페렴 인가요 ,어제 저녁부터 갑자기 가래가 많이 까고 기침이 엄청 심합니다 근데 자고 일어난후 기침은 거이 안하는데 가래가 심해요 왜 그런걸까요 ,호흡기내과
코로나 어제 한 자가키트 두 줄 생김,어젯밤에 검사했고 분명 한 줄이였던 것 같은데 오늘 보니까 사진처럼 되있어서요   이럴 수가 있나요  번져서 그런건가요 ,호흡기내과,결핵 진단서,울산 시티e병원에서 결핵 검사를 기숙사때문에 하러가려고하거든요 오늘  내일 나온다는데 직접 가서 진단서 받아야하나요  아님 인터넷으로 당일 발급 되나요  오후에 받으러 갈껀데,호흡기내과,기도로 음식물 넘어간것같아요,점심에 오징어 순대를 먹었는데  오징어를 씹다가 안잘려진 부분이 기도로 넘어간 느낌이에요  처음에 숨막혀서 음식물을 조금 뱉었는데  막힌음식물은 안나오고 계속 기침하다가 목으로 넘어간 느낌이 드네요  속이 계속 쓰리고 목도 답답하고 머리가 좀 아프네요  어디서 진료를 받아야하나요 ,호흡기내과
기관지  폐사진,감기가 거의 한달짜 가고 있는데요 기관지  폐 사진 찍어보고 싶은데 엑스레이 찍음 되나요 ,호흡기내과,세팔로스포린계 항생제 복용 후 설사,편도염 앓고 항생제 주사를 맞고 저 항생제 약을  일치 처방 받았는데요  번 먹은 뒤로 설사를 하루에    번 하게됐어요    약사님이 증상은 없어도 약은 다 복용하라했는데     혹시 복용 중단하면 안되나요    설사 너무 괴로워요     이제 편도염 증상은 없습니다 ,호흡기내과,숨이 얕게 쉬어지고 잔기침이 계속 나와요   ,숨이 깊게 안쉬어져서 가만히 있어도 잔기침이 자꾸 나오는데 문제가 있는건가요   ,호흡기내과
오미크론 완치후 코로나 재감염이 가능한가요 ,제가 오미크론 바이러스가 걸리고 완치가 되었는데요   오미크론이 아닌 코로나 바이러스에 재감염되고 증상이 심하게 나타날 수 있는 가능성이 있나요   오미크론은 변이 바이러스라 원래 코로나와는 유전 적으로 많이 다르다고 들어서 혹시나 싶어서요  ,호흡기내과,중국 바이러스 우한폐렴  코로나    백신 부작용 질문,안녕하세요   살 남자 청년입니다  현재 제가 비접종자라서 백신을 맞지 않고 있습니다  지금 회사를 이전 하고 아마 강제로 회사에서 백신을 접종하라고 할건데   근데 제가 추위로 인해 몸의 온도가 떨어지거나 땀을 흘림으로 인한 온도 저하도 포함  넝쿨 같은 곳에 데이면 알레르기성 두드러기가 올라옵니다  이마  눈  뺨  목  얼굴 몸 가릴 곳 없이 전체적으로 심하게 나는 편입니다  백신에 대해서 많이 알아보고 있는 편이긴 한데  부작용 중에서도 두드러기 관련된 영상이나 글들도 있더군요  그런 면에 백신을 과연 맞아도 되는지  궁금합니다  현재 알레르기 특성이 정확히 어떤 알레르기 인지 잘 모르겠습니다  식물과 관련된 것인지  한랭성 인지는 ,호흡기내과,모더나 차접종,월요일에  차 접종하고 당일과 이튼날은 많이 피곤하고 기운이 없고 팔만아팠는데  일째부터 아침에 일어나니 머리가 핑하고 도는 느낌으로 어질하더니 기침 재채기하면 머리가 찢어질정도의 고통이고 가만히있다가 한번씩 두통이 심하게와서 어질해요   부작용으로 병원 방문하면 수액맞을 수 있나요 ,호흡기내과
코로나 자가격리 기준  차백신,제 동생이 어제 저녁에 코로나 양성판정을 받았는데 제가  차 접종 후   일이 지나서  차백신을 오늘 맞으러 가려고 병원에 예약해놨는데 오늘 맞아도 자가격리를 해야할까요  ,호흡기내과,아프면 눈이 붓고 때로는 입술이 부어요,  대 학생 이고요 어려서부터 몸이 아프려고 하는 징조가 있으면 입술이 붓거나 눈이 붓는 경우가 있어서 어느병원에 가야할지 혹 의심되는 현상은 무엇인지 궁금해서 올려봅니다  통상 몸을 충분히 쉬면 하루나 이틀뒤면 회복됩니다 ,호흡기내과,천식 흡입기,현재 포스터 넥스트할러를 사용한고 있는데요  백신 맞고 일주일 정도 지났는데 어제부터 평소와 다르게    번 정도 가슴 답답한 게 생겨서 숨쉬기 힘들다 느껴질 때마다 흡입기를 사용했습니다  처방받을 때 의사선생님께서  일  회 흡입하라고 하셨는데  번 정도 한 것 같아요   혹시 이렇게 흡입기를 사용하면 문제가 생길까요 ,호흡기내과
제 동생이 코로나일까요  ,오늘 낮에 동생이랑 같이 학원 수업듣는 친구가 양성판정을 받았다는 소식을 들었는데요   어제   부턴가 동생이 목이 아프대요 별 대수롭게 생각 안 하고 지나갔어요  근데 방금 저녁을 먹고 나서 갑자기 동생이 가래기침  을 하더니 열이 난다고 하네요   이거 코로나일까요 감기일까요      ,호흡기내과,명치 쪽 통증,어제 낮에 둘이서 소주  병 정도 급하게 마시고 했는데 토를 좀 많이 했거든요 그래서 하루 지나고 오늘 가래 뱉을때 명치쪽이 아픈데 왜 이러죠   ,호흡기내과,지금 발열 오한 마른기침 코막힘 맑은콧물 증상이 있어요 ,엊그제 운동을 강도높게   잘못된 자세로 하는 바람에 어깨 및 경추에 관절통이 심 하 게 생겼습니다  때문에 이틀 내내 잠도   분 잘까말까하게 너무 아파서   시간 스트레스 받으면서 보냈어요  그런데 오늘 이른 저녁부터 오한 기침 발열 코막힘 증상이 생겼네요  몸살일까요 코로나일까요 ,호흡기내과
코로나 격리해제후 한달동안 기침 안멈춤,한달째 병원가서 약도 받아가는데 기침이 멈추질 않습니다 왜이리 기침이 오래가나요,호흡기내과,코로나 증상  내공     ,오늘 밤에 일어 났더니 목이 엄청 따갑고 목소리도 달라졌습니다 처음에는 변성기가 왔구나 하고 생각했는데 오늘 저녁에 엄청 따가워지고 볼도 빨개지고 뜨거워요 기침도 하지 않는데 코로나 증상인가요 ,호흡기내과,밤만 되면 열 나는 이유,고 인데 낮에 학교 생활 잘 하다가 학원 갔다가 집에와서   시 쯤만 되면 열이 나기 시작하고 머리가 깨질 듯 아픕니다   감기나 몸살 그런 느낌은 없고 일주일에 적어도  번은 그러는 것 같아요  몇개월 째 이렇구요   왜 그런걸까요  병원에 가봐야 하는 걸까요   그리고 가끔 숨을 쉬다가 심장이 조이듯이 아픕니다   관련이 있는 걸까요  ,호흡기내과
 달 가까이 지속되는 기침  약도 효과가 없습니다 도와주세요    ,안녕하세요   월 말부터 시작된 기침이 현재  월까지도 지속되고 있고  기침이 시작된  월부터 꾸준히 클리닉을 방문하여 약을 처방받아 복용중이지만 차도가 없어 한국에 계신 의사 선생님들의 도움을 구하고자 지식인에 글을 씁니다  비대면이라 정확하지 않겠지만 가능성이라도 좋으니 짧게라도 소견 남겨주시면 정말 큰 도움이 될 것 같습니다  감사드립니다     저는 기침만 빼면 신체 건강한   대 후반 여성입니다  술  담배 안하고 정상 체중  혈압  산소 농도  호흡 다 정상입니다  청진기로 확인했을 때 호흡 소리 정상이라 asthma는 아닐거라고 했습니다  기침은 가래 없는 마른 기침으로  목구멍이 간질거리며 나옵니다  처음에는 그냥 너무 간질거려서 확 하고 나오는 기침이었는데  요새는 큼큼 거리며 목구멍에 느껴지는 이물감을 정리하는데 기침을 더 많이 해요  그 외에 눈에 띌 만한 특징이 없습니다  이 기침은 사실 이번이 처음은 아니고   년 전부터 플로리다에만 오면 시작되어 방치했을때  개월 지속 되었던 경험이 있습니다  보통 환절기   월  월  매달 나오는 기침입니다   아직 정밀검사 chest x ray 같은   를 받지 못해서 클리닉에서는 여러 가능성을 열어두고 약을 주시는데요   알러지성 기침   플로리다 날씨 특징   습함   카펫 생활 먼지  공기 등  콧물이 목구멍을 타고 흘러내려 나오는 기침   코에 투명한 콧물이 많음    초반에는 목구멍 뒤로 흘러내리는 게 느껴졌으나 지금은 안느껴짐    오늘 클리닉 방문  의료진 분께서 코 옆 maxillary sinus   이마쪽 frontal sinus  양쪽으로 엄지 손가락으로 꽉 힘을 줘 확인하심  압력  통증 없음      아래는 약 리스트입니다   차 방문 Benadryl  Diphenhydramine HCl   mg  Antihistamine  Mucus  Guaifenesin    mg  Nasal Decongestant  Phenylephrine hydrochloride   mg    차 방문 Fluticasone Propionate Nasal Spray    mcg per spray    현재도 매일 아침 양쪽 콧구멍에 각각  회씩 분사  Loratadine   mg  Antihistamine    효과 없어 중단    차 방문 All Day Allergy   mg  Cetirizine hydrochloride  Antihistamine    Loratadine antihistamine  효과가 없어서 이 약으로 바꾸라고 하셨음  하루에 한 알    차 방문 Culturelle Probiotics   오늘 새로 처방  계속 차도가 없자 infection 가능성이 있다며 probiotics 주심   Antihistamine  Acetaminophen 등 효과가 없고   복용량은 클리닉 안내를 따르고 있습니다만  기침이 멎지 않아서 주변 사람들이 따로 약을 챙겨줄 정도입니다  유일하게 효과가 있는 것은 cough drops  menthol     mg  캔디 입니다   시간에  알 제한이 있는데 급할 때  시간에  알 먹습니다  캔디 먹을 동안은 기침이 아예 안 나옵니다   추운 날씨  차가운 음료  커피를 마시면 기침이 심해지고  따뜻한 물도 자주 자주 마셨는데 물이 목구멍을 통과할때만 이물감이 덜하고 기침이 안나옴  물 마시고  초 후면 다시 기침 시작  아침에는 괜찮으나 오후  시부터 시작해서 저녁에 가장 심해짐  밤에 침대에 누울때 기침 발작적으로 나옴   도와주시면 정말 감사드리겠습니다   ,호흡기내과,이비인후과와 호흡기내과중에 어디를 가야하나요 ,가래가 자꾸 목 뒤로 넘어갑니다  침을 삼키면 목 뒤에 가래가 있는 느낌이 납니다  가끔 호흡곤란이  분정도 나타납니다  빈도는 하루에 한 번  많으면 하루에    번정도 나타납니다   기도가 좁아지고 칼칼한 느낌이 들면서 호흡하기 힘들어집니다  그럴때마다 제가 목구멍을 확장하는 듯 목에 힘을 주며 숨을 쉽니다    코막힘  콧물  기침 증상은 없습니다   이럴 경우 이비인후과에 가야할까요  호흡기내과에 가야할까요 ,호흡기내과,비활동성 폐결핵입니다   ,비활동성 폐결핵 판정 후 코로나백신 맞아도 될까요      년에 결핵이 왔고  완치   가 된 이후에 사시사철 기침과 가래때문에 고생하는데  이런경우에 백신접종가능여부와 접종후 문제점은 없는지 알고싶습니다 ,호흡기내과
코로나 의심증상   ,어제부터 몸이 좀 이상했는데 어제는 목에 이물감이 느껴지고 답답하기도 했고 두통에 기침과 콧물까지 났는데 방금 일어나보니 몸이 뜨겁고 몸에 힘이 안들어가네요    두통은 여전하구요    어제 혹시 몰라서 키트사서 했는데 키트가 불량인지 용액에서 거품만 나와서 제대로 검사가 안된것같기도 해요   코로나 의심되는 증상맞나요    pcr은 그냥 안해준다는데 어떡하죠    정확한 답변 기다리겠습니다   ,호흡기내과,심장통증 관련, 차  차  차 화이자  차   년   월 말 접종 완료   오한 고열 등 일시적인 증상 이후 아무 문제 없이 괜찮았습니다   이번주 부터 불규칙적으로명치와 왼쪽 가슴 사이쪽이 불편한 느낌이 듭니다   주로 물이나 음료 등  마실때 꿀떡 넘긴 즉 명치쪽에 지나갈때 한번 걸린다 라는 느낌이 듭니다   그냥 침을 삼켜도 그 자리에 불편한 느낌이 듭니다  통증이라고 하기에는 크게 아프지는 않습니다  평상시 식사 할때 음식 먹을때는 별 느낌 없습니다  그냥 숨실 때 도 불편할때도 있고 그냥 정상적일 때도 있습니다   단순이 잠을 잘못 자서 근육이 뭉쳐서 그럴 가능성이 있나요 저번주 일주일을 맨 바닥에 새우잠을 계속 해서 온 허리 어깨 가슴 등 불편 했었고 지금은 가슴 빼고는 불편한곳이 없습니다 ,호흡기내과,가래에서 피가 나옵니다 ,며칠전에 열이 있고 기침하고 가래에서 피가 나오길래 코로나 검사를 했더니 오늘 아침에 결과 음성으로 떴습니다 근데 목이 계속 아프고 마른기침을 계속 하고 가래가 항시 있습니다 어제부터 가래를 뱉으면 피가 같이 나오는 경우가 계속해서 늘고 있습니다   혹시 제가 죽을 병에 걸렸나요  는 좀 많이 간 것 같고 혹시 심각한가요  ,호흡기내과
코로나 확진 후 기침이 계속 나와요,제목 그대로에요  코로나 확진 후 완치 했는데 기침이 계속 나옵니다  당장 내일 발표를 해야하는데 단기간에 잠시라도 기침 멈출 수 있는 방법 없을까요  따듯한 물을 계속 먹는데도 기침이 나와요  그리고 언제쯤 기침이 덜해질 수 있을까요 ,호흡기내과,코로나 열,어제부터         사이를 오가요 타이레놀 먹으니까 괜찮아졌었는데 오늘 저녁쯤 되니까 다시 열이 올라요 원래 열이 자주 났어서 코로나인지 아닌지 헷갈리네요    열이나 두통 외에는 다른 증상 없어요 두통은 원래 있었구요,호흡기내과,항결핵약 소변약,혹시 항결핵약제 투비스투정    mg 이랑 한미탐스정 이랑 같이 먹어도 가능한가요    그거먹고 속이 울렁거리고 컨디션이 너무 안좋은데오,호흡기내과
자가진단키트,코로나   자가진단 키트를 오늘 아침에  번 했는데요  번은 양성나오고  번은 음성 나왔습니다  맨처음꺼는 피도 묻고 진하게 양성 두번째꺼는 연하게 양성 맨 마지막꺼는 음성 나왔습니다  혹시 몰라서 PCR검사도 하고 왔는데요 자가검진 키트서 양성 나오면 PCR 검사 무조건 양성 나오나요 자가검진 키트랑 PCR검사랑 결과가 다르게 나올수도 있을까요  아니면 감기기운 조금이라도 있으면 자가검진키트서 양성 나오나요 ,호흡기내과,결핵 반응 검사,안녕하세요 제가 화요일 오전에 결핵 반응 검사를 했어요 딱히 증상이 있어서 한건 아니고 학교 기숙사 들어가는데 하고 오라고 하더라구오 그래서 진행했는데 머리가 너무 깨질듯이 아파요 평소에 편두통이 있는데 진짜 머리가 너무 아픈데 두통약 먹어도 되나요   ,호흡기내과,백신접종대기중인   세주부입니다  건강검진중 폐재검대상이라 병원가서CT촬영결과 고립성폐결절이란 진단을받고  개월뒤 다시 보자고 들은상태인데 다음,백신접종대기중인   세주부입니다  건강검진중 폐재검대상이라 병원가서CT촬영결과 고립성폐결절이란 진단을받고  개월뒤 다시 보자고 들은상태인데 다음주에 모더나백신접종을 해야되는지 안해야되는지 걱정이됩니다 ,호흡기내과
코로나키트 음성 나왔는데 양성일 수 있나요,고등학교 재학중인   살입니다  키트에서 음성이 나왔는데 목이 칼칼하고 아프며 기침이 나오고 콧물도 나옵니다 심장쪽이라 해야하나 여기도 좀 아픈데 검사를 해야하나요 그리고 사진에 표시해 둔 곳도 좀 아픕니다 ,호흡기내과,각혈 객혈 증상이 있을시 어느 병원에 가야하나요 ,고수님들 안녕하세요   요 근  년간 한두달에 한번정도 아침에 가래침을 뱉을때 나오는데  아주 미량이라 코피거나 입안 미량의 상처라 가볍게 생각했는데  오늘 아침에는 사진처럼 꽤 많이 나와서 너무 놀랬습니다  딱히 아픈곳은 없긴한데 병원은 봐야할거 같아 문의드립니다   각혈 객혈 증상이 있을시 어느 병원에 가야하나요   큰병원가서 진료 보고싶기도 한데   도통 어느과에 가야할지도 모르겠어요       제가 부산사는데   경남권에 유명한분이 있으면 말씀 부탁드립니다 ,호흡기내과,편도염  인가요 ,목이 너무 말라서 올립니다 사진으로 보면 편도염 증상인가요  심각한 정도인가요  ,호흡기내과
기도가 좁아진거 같아요,요즘들어 누우면 숨쉬는게 좀 힘들고 목쪽이 좀 답답합니다  그리고 목소리가 잘 안나오고 뭐 삼킬 때도  전 보다 더 힘들고 잘안넘어가고 목에걸리는느낌이에요  이런거 검사 어디서받나요,호흡기내과,오미크론 확진 여부,제가   월달에 감기가 엄청 심하게 들었던 적이 있었습니다   목감기에 코감기  기침도 심하게 했었습니다  처음에는 겨울이라 건조해서 그런 건줄 알았는데 오미크론 증상 중에 땀띠 증상도 있더라고요   근데 제가 그때 뒷목이랑 상체 전반적으로 땀띠가 있었거든요  이것도 처음에는 건조해서 가려운 건 줄 알았어요   원래 감기 걸렸을 때 약국에서 약 사 먹으면    일 있다가 서서히 괜찮아지는데 오히려 심해져서  주 조금 넘겼을때 병원 갔었습니다  처음 증상 있고나서  주 정도 지나니 괜찮아졌는데  지금 생각해 보면 오미크론이었을 수도 있겠더라고요   그때 코로나 검사 해볼 걸 하는 아쉬움이 들어서 이전에 오미크론이 걸리고 완치된 경우에는 따로 오미크론 확진 여부는 파악이 안 되는 지 궁금합니다  참고로 백신 미접종자 입니다 ,호흡기내과,잠복성 결핵의 전파가능성,아이를 낳고 장모님 댁에 한달간 지내려고 하는데요 장모님이 잠복성 결핵 판정을 받으셨습니다 약은 꾸준히 드시고 계시는데 아이가 장모님댁에 가서 같이 지내도 되는지 궁금합니다 참고로 아이에게 결핵예방주사 bcg 를 맞추고 한달뒤에 갈 예정인데 괜찮을런지요   내과 선생님의 답변 부탁드립니다,호흡기내과
과호흡 후 미세한 손떨림 증상 관련하여,저희 어머니께서 겪으신 일입니다     대이십니다    이틀 전  저희 어머니께서 과호흡으로 놀라신 일이 있습니다   화장실에서 목욕을 하시고 난 후  호흡이 답답해 의식적으로 호흡을 빠르게 하셨는데  목욕 중에도 물을 한 잔 드시고 목욕 후에도 저혈당일까 생각되셔서 오렌지 쥬스를 반 잔 드셨다고 합니다   그로 인해 과호흡을 겪으셨습니다   숨이 쉬어지지 않고 손과 발이 경직되어 크게 놀라셨는데  제가 손을 만져보았는데 힘이 잔뜩 들어가듯이 단단한 상태였습니다   비닐 봉투를 이용해 호흡을 조절하니 약간 괜찮아지셨고  그 후에 응급 대원분들이 오셔서 안정과 호흡을 조절해주셔서 다행히 큰 일은 없었습니다   응급 대원분들이 오셨을 때 혈당  혈압  혈중 산소   손가락에 장치를 끼워서 측정하셨습니다   등을 간단히 재봤을 때 응급 상황은 아니라고 판단해 주셨고  그 후에 동네 내과에 가서 검사를 받으셨을 때는 큰 이상은 없는 것 같다  큰 병원을 가보시라고 하여 진료 예약을 잡아 놓은 상태입니다   다만 걱정되는 것은 그 일이 있은 후 손이 미세하게  본인만 느끼실 정도로  떨리는 것 같고 호흡이 어딘가 약간 불편하시고 평소보다 물을 자주 마시게 된다고 하십니다   물은 라면을 드셔서 그런 것 같기도 합니다     제 얕은 생각으로는 과호흡 당시에 크게 놀라셔서 근육이 약간 놀랐거나  아니면 심리적으로 두려움이 생겨 그런 것 같은데  이 일에 관해 전문가분들 혹은 비슷한 일을 겪으신 분들의 의견이 듣고 싶습니다     참고가 될까 추가로 적자면  이전에 심장이나 호흡기에 관련한 질환은 없었습니다 ,호흡기내과,백신부작용 아닐까요 ,아래는 제 아내의      말부터 현재까지의 진료결과입니다           우상엽폐  mm결절 결핵 추정소견 A종합병원          폐 ct 오래된 결핵추정 B종합병원   기관지내시경검사 결핵은아니나 관찰권유 C아산병원          흉부x선 크기변화없고 결핵아니므로 진료종료고지 C아산병원          저선량폐 ct  추적관찰소견 D종합병원   결핵추정소견 E종합병원          폐ct  크기변화 없어 관찰소견 D종합병원          저선량 ct 싸이즈 커짐 약   mm   D종합병원 흉강경수술로 구역절제조직검사권유  E종합병원 흉강수술권유 F대학병원 폐암가능성높아 흉강경수술 전절제조직검사및 치료권유   의문점    년말 생겨있던 결절이       월경까지  개 종합병원에서 결절병변에 관찰소견나오던 것이     년들어 갑자기 싸이즈가 커지면서 여러병원에서 암 가능성 염두두며 수술을 하자고합니다      모더나 차       모더나 차백신을 맞았는데   차접종후 가래가 심하게 나오면서 현재까지도 가래증세가 남아있습니다  그리고   월까지 크기의 변화가 없던것이 불과 석달이내에 크기가 약 배이상될수 있는것인지   백신의 부작용으로 세포변이를 일으켜 결핵이던것이 암종으로 변형을 일으키지는 않았는지 일반인상식선에서 강하게 의심이듭니다  어떤 연유로 상황이 이리 급변하게 되는지 안타까운 심정으로 전문가분의 조언 부탁드립니다   읽어주셔 감사합니다 ,호흡기내과,백신 차 접종후 감마나이프방사선 가능한가요 ,백신 차접종이     이고 감마나이프방사선이     일인데 괜찮을까요  걱정이 됩니다  Vam 입니다 ,호흡기내과
가족이 걸렸는데 자가격리는 어떻게되나요 ,가족이 확진받았는데요 저는 미성년자고 미접종자입니다 제가 pcr검사 음성일경우저도 같이 자가격리를 해야하나요  아니면 일상 생활 가능인가요 ,호흡기내과,백신 괴담 사실인가요,인터넷 돌아다니다가 이거 발견했는데 진짜 합성아니고 저사람이 저렇게 말했나요  화이자 부사장이었으면 나름 신뢰할 만한 사람 아닌가요   이것때매 무섭네요 진짜일까요,호흡기내과,잠복결핵 괜찮은가요 ,친구가 잠복결핵에 걸렸다는대 감염 되지는 않는답니다 만나도 괜찮나요  불안하네요,호흡기내과
  대 초반 숨이 안쉬어지고 온 몸이 저리고 속이 매스꺼워요,  대 초반 여잔데 고등학교 다닐때도 가끔씩 어지럽고 매스껍고 몸이 저렸었고 평소 밥 먹고 뛰거나 술을 빨리 마실 때 종종 이랬었는데 오늘은 특히 업무보는 중이였는데 숨이 안쉬어지고 말도 못하겠을정도로 어지럽고 속이 매스껍고 온 몸이 다 저려서 그대로 책상에 쓰러졌네요    혹시 이런것도 질병의 전조증상인가요 ,호흡기내과,요즘 병원갈때요 ,콧물이랑 기침가끔하고 가래가있는데 요즘 병원갈때 코로나검사를 따로 하고가야하나요  아님 그냥 가면될까요  ,호흡기내과,코로나백신 맞고 콧물약,제가 어제 화이자 백신  차접종을 했는데요 콧물이 나서 오늘 병원갔다가 약타왔는데 백신접종하고 바로 약 먹어도되나요 ,호흡기내과
숨쉬기가 곤란한 때,병원을 가기엔 오버인것 같아서 먼저 좀 여쭤보려고요  원래 최근 몇 달  정도 가끔씩 호흡이 곤란할 때가 있었는데 요즘엔 자주 그래서요  딱히 이유를 모르겠는데  다른 증상은 없고 지금은 일에 집중 못 할 정도로 숨쉬기가 점점 힘들어져서요  산소를 다 못 삼키는 듯한  이유가 뭘까요   ,호흡기내과,오미크론과 감기 구분 방법,콧물  목따가움 증상이 있는데  오미크론이면 어쩌지   하는 걱정이 듭니다   오미크론이랑 감기가 증상이 비슷하다고 해서 둘의 확실한 구분방법이 궁금합니다 ,호흡기내과,화이자 백신 부작용있나요 ,갑자기 호흡곤란이생겨서 응급실에 실려갔었는데 화이자가 이런 부작용도있는지 궁금해요 ,호흡기내과
자꾸 기침이 나와요,제가 몇 주전에 코로나 걸리고 지금은 완치됐어요 근데 걸리고 일주일 동안은 거의 기침을 안 했는데 이후에 기침을 진짜 쉬지 않고 하고 있어요   학교나 스터디 카페에서는 기침 참느라 명치 쪽이 아프고 목이 간질거리기보단 더 아래쪽  이 근질근질해요   코로나 걸렸을 때 받았던 기침약 먹었는데도 효과가 없어요   왜 그런건가요  ,호흡기내과,건강진단서 내용좀 봐주세요,A B형 간염이랑 결핵검사 하고왔는데 종이만 받고 설명을 제대로 못들어서요 음성이면 아무 문제없는거죠 ,호흡기내과,협심증으로 헤르벤정   mg을 복용중인데,저녁먹으면서 와인이 너무먹고싶어서  모금마시고 두시간가량후에 헤르벤정을 먹었습니다   먹고보니 걱정이 되네요    괜챦을까요   막상 약을먹으니 심장이 쿵쾅       또 응급실갈까봐     다신안먹을게요   ,호흡기내과
