0,1,2,3,4,5
목 열이   도 에요,코로나 걸렸는데 이마는 괜찮은데 목 열이   도 에요      어카죠 병원이 마감이여서 내일 신속항원검사 할껀데 몸 열 식히는 법 좀 알려주세요   ,가정의학과,제가 다른 사람들보다 피로를 더 많이 느끼는 것 같아요 ,안녕하세요 학생입니다  제가 제 친구들에 비해 피로감을 더 많이 느끼는것 같아서 이게 진짠지    알아보려고 질문 했어요 일단 자도자도 졸립니다  저는   시에자도 학교 오면 피곤해서 책상에 자는데 애들은 새벽  시  시에 자고 일어나도 생생합니다  그걸보니 정말 부럽습니다  어떻게 늦은시간까지 버틸 수 있는지   애들한테 얘기를 하면 너가 정신력이 부족한거다 다 변명이다라고 얘기하는데 저도 진짜 늦은시간까지 공부해서 제가 정해논 일을 끝낼려고 해도 안됩니다 자면 죽는다라는 제약을 걸고 했는데도 그냥 죽는게 낫다는 생각이 들 정도로 피로감이 듭니다   그냥 일상이 피로해서 낮잠 한번 안자면 일상생활을 못할 정도로 불편할 지경이예요  옛날에 운동도 많이했습니다  제가 생각 하기에는 옛날에 학교 가정 폭력을 많이 받아서 스트레스를 많이 받았었거든요    그래서 학교 끝날때마다 스트레스 때문에 제가 많이 지쳐서 학원도 빠지고 아무것도 못했는데 그 영향인가요    ,가정의학과
어지럽고 토할 거 같아요,오늘 아침부터 계속 머리가 지끈지끈 거리고  심장도 빨리 뛰고  속이 울렁거리면서도 토할 것 같은데 진짜 토할 것 같진 않아요 그리고 피로감도 엄청 느껴져요 이게 뭘까요  ,가정의학과,코로나 잠복기간,오늘 낮에 같이 점심식사를 한 사람이  알바 하기전에 자가진단 키트로 검사하니까 양성 반응이 나왔다고 합니다  그 소식을 듣고 저도 자가진단 키트로 검사했는데 음성 반응이 나왔어요 코로나가 걸려도 바로 반응이 나오진 않나요  잠복기간이 있는건가요  일단 음성이 나왔는데 일상생활을 해도 되는 걸까요 ,가정의학과
코로나 잠복기 전염 가능성,제가 금요일에 코로나 잠복기였던 친구랑 두 시간 정도 서로 마스크를 안 벗고 같이 있었는데 그 친구가 오늘 저녁에 자가키트를 해 보니까 양성으로 떠서요    저도 감염될 가능성이 있는 걸까요  급해요    답 얼른 주세요,가정의학과,갱년기인가요 ,저희엄마는   세이시고 아직 폐경하시지는 않지만 불규칙한 편입니다 원래는 되게 천사같은 성격이세요 가끔 기분파일때도 있지만요 근데 요즘 이상해요 뭔가 일 잘못되면 제가 생각 못해서 그런거라고 뭐라고 하고    그러다 서로 큰소리나면 갑자기 토라지고 또 갑자기 혼자 풀려요          그리고 술 안마시는데도 얼굴이 빨갛고    영상통화하다가 갑자기  왜 너만 이쁘냐고 그러고    나는 못생겼다 그러고       눈빛이 슬퍼보 여요       이거 갱년기인가요  제가 양보하고 이해해주는게 답인가요 ,가정의학과
소화가 잘 안돼요,요즘따라 소화가 잘 안되고 저녁에 뭘 먹어도 다음날 아침에 학교 등교할때나 오래가면  교시까지 배가 자꾸 아파요 꾸륵 꾸륵 거리구요 제가 밥을 먹고 나도 꾸륵 꾸륵 거리면서 배가 아파요 화장실   가면 설사도 하구요 제가 걸리는 거 있다면 음식을 먹고 눕는다는 거  혹시 이유가 그것 때문인가요  근데 저희 아빠랑 언니도 자주 그러던데 유전인가요  궁금합니다 그리고 배가 안 아플려면 어떻게 해야하나요  아플 때 좀 버티면 괜찮긴한데 너무 고통스러워요 제발 배 안 아픈 법 좀 알려주세요  ,가정의학과,백신 접종,제가 화이자를  차까지 맞았는데  차를 언제 맞았는지 모르겠어요    차는   월   일에 맞았는데 이걸로  차 언제 맞았는지 알수있나요   적어서 내야하는거라   ,가정의학과
코로나 오미크론 식혜 맛이 안 나요,제가 오미크론에 걸렸었는데요 음식맛이 다 잘나요 약간 들 나긴 하는데 다 잘 나요 그런데 식혜맛이 하나도 안 나요  직접 만든 식혜라서 상했나 하고 사서 먹었는데도 식혜맛이 안 나요 제가 식혜를 진짜 좋아하는데   다시 돌아올까요  그리고 식혜만 맛이 안 날 수가 있나요  왜 이러죠,가정의학과,코로나 확진자랑 빨대,제 친구꺼 음료수 있길래 빨대를 제가 입대고 모르고 마셨는데 친구의 친구도 그 빨대를 입대고 마셨대요 근데 그 친구가 코로나 확진받았는데 어제 자가키트 했는데 음성 나왔는데 살짝 목 아프고 머리 아파서 열 재봤는데     도 나왔는데 괜찮을까여    기분 탓일까용       아직 하루 밖에 안지나서 잠복기 일 수도 있나욥   ,가정의학과
삭센다 사용중 탁센 소염진통제  복용,삭센다 사용한지는 오늘로  일차고 탁센을 한번 복용해도 될지 궁금합니다  또 삭센다를 사용하는 기간중 감기약이나 소화제를 복용해도 괜찮을까요  먹으면 안되는건 뭐가 있을까요 ,가정의학과,오미크론 코로나,집에만 있고 밖에서 마스크 한 번도 안벗었는데 목감기 집에서 걸려서 이비인후과가니깐 신속항원검사 하라고 해서 했더니 양성에다가 PCR했는데 문자도 안보내주고 전화 걸었더니 보냈다는데 안왔는데 이게 무슨 경우죠   결과는 양성이라고 하더군요      집에만 있었는데 오미크론 걸린다는게 가능한건가요  목감기도 PCR하면 양성으로 뜨나요   만약 오미크론이라쳐도 그럼 마스크 효과도 없는데 뭣하러 쓰죠 ,가정의학과
코로나 확진자가 재택치료중 사용하던 이불이나 침대등을 어떻게 해야 하나요,코로나 확진자가 재택 치료중이어서  개 방에 생활하고 있습니다  문제는 격리가 해제되면 확진자는 면연력이 형성되어 관계는 없겠으나 다른 가족들은  확진자가 사용하던 이불  침대 기타 물건등은 다 버려야 하는 건가요  아니면 일정시간이 지나면 사용해도 되는건가요   가구나 이불들에 뭍어 있는 확진자의 코로나 바이러스는 어떻게 해야 없앨수 있나요 ,가정의학과,섬유낭종성변화,선생님 조직검사결과 섬유낭종성변화이구요  크기는     인데 맘모톰으로제거해야하나요 ,가정의학과
코로나 양성 후 코가 매워요,어제 병원에서 신속항원검사를 받고 양성 판정을 받았습니다 자고 일어나고 다음날 아참에서 일어나니 한쪽 코가 너무 매워요 그리고 맛은 느껴지는데 짠것을 잘 못느끼겠어요 병원에서 신속항원검사를 잘못 받은 걸까요   너무 아파요 매워요 왜이래요,가정의학과,다이어트약 어떻게 끊어야 하나요,작년   월  일 부터 푸링정 펜디메트라진  mg  을 거의 매일 하루에  알씩 복용해서 체중을   키로         감량했습니다  이제  개월이 거의 다 되어서 약을 서서히 끊으려고 하는데 약을 끊을때 갑자기 끊으면 절대 안되고 서서히 줄여나가야 한다고 합니다  그래서 약을 하루에  알    알     알 로 줄여가면서 끊을 생각인데  알    알     알을 각각 몇일정도 먹어가면서 끊어야 할까요 조언부탁드립니다 약은 아직   알 남아있어서 부족하진 않을거깉아요,가정의학과
LDL 콜레스트롤 수치가     나왔어요, 년전부터 계속         수치였는데 두달전에 다른검사중에 LDL   수치였어요  다른과에서 몇일전에 했던 검사결과지를 오늘 봤는데  LDL콜레스톨수치가    이 나왔어요  약을 처방 받아야 되는거죠  제가 심장 내과 오늘 진료 보고 내일도 진료가 있는데 처방해달라고 하면 되나요   고지혈증 약 처방 받아서 먹은적은 없습니다 ,가정의학과,다이어트 약 먹고 발기부전,다이어트약  일 복용중입니다  다이크로짇정  반쪽 대원디아제팜정 mg  아세드린정 틴틴정  스벨트정토프라맥정  mg   반쪽  근데 아침이나 뭐 수시로 발기가되었는대  잘안대는 느낌이 들어서요 다이어트약 때문에 그런건지 궁금해서요 ,가정의학과
코로나  차 백신 맞고 당일날 운동했는데 괜찮겠죠 ,오늘   시쯤에  차 백신맞고  시 까지 안아파서 밖에 축구하러 갔거든요 근데 쫌 빡세게 했어요 심장이 쫌 빨리 뛸정도로 했는데 괜찮을까요 의사쌤은  주동안 무리한 운동 하지말라고 했는데요  또 내일 축구 시합이 있어서 해야하는뎅   저 안죽겠죠  ,가정의학과,유학 건강검진 비용,일산 병원에서 하려고 하는데  에이즈  B형간염 C형 간염 흉부엑스레이 디프테리아 파상풍 백일해백신 MMR 장티푸스  이렇게 검사하면 얼마정도 나오나요 ,가정의학과
어지럽고 토할꺼 같은 증상,제가 그런건 아니고 저희 어머니가 건물에서 청소 하시는 일을 하시는데 간혹 일이 많은 날은 어지럽고 머리가 삥삥 돈다면서 토 할꺼 같다고 하셔서 병원을 가보라고 했지만 병원 가봤자 의사가 뭐 알겠냐고 하면서 계속 안가시더라구요 아마 검사비용 때문에 그러시는거 같은데 제 속이 답답해서 죽을꺼 같네요    검사비용이라도 알면 제가 대신 드리면 되는데 하     최근에는 자주 머리가 삥삥 돌면서 어지럽고 토할꺼 같다는 증상이 자주 나타납니다  뭐 영양제나 몸에 좋은거 그런거 없을까요  어디 영양소가 부족해서 저러시는거면 꾸준히 사드리고 싶은데 뭔지 모르겠으니 미치겠습니다     어머니 평소에는 밥을 좀 빨리 드시는 편이고  체형은 비만 입니다  그리고 밥 먹고 피곤하다며 바로 누워서 티비를 보시는 편 이고요  병원을 안가시니 네이버 지식인 이런거에라도 한번 적어봅니다   ,가정의학과,코로나   예방접종완료자 기준,  월 말 즈음에 백신  차 접종만 한 상태에서 코로나 확진되었습니다  그 후 아직  차 미접종 상태고요  현재 가족 중 확진자가 나왔는데 자가격리 해야 하나요  혹은 접종완료자여서 수동감시인가요 ,가정의학과
식욕억제제 디에타민 부작용 도와주세요  ,정확히  일전에 나비약 디에타민 처방받아서 첫날에  알 복용하고   시간째 잠 한숨도 못자고있습니다   이거 응급실이라도 가봐야할까요    두통 환각 환청 증세는 없는데 약간의 어지러움과 몸이 각성된 느낌입니다  이러다가   시간    시간    시간     시간 잠 못자다가 졸도될까 두렵네요  ,가정의학과,코로나 밀접접촉자,저 목요일에 아는 분이랑 밥을 같이 먹었는데 그 분께서 오늘 확진 판정을 받으셨대요 금요일에도 만났었는데 마스크는 안 벗었었고  금요일부터 증상이 있으셨다고 하는데 저는 밀접접촉자가 되는건가요 ,가정의학과
HCV 인슐린 바늘 찔림,병원에서 일하면서 치우다가 그만 HCV환자 썼던 인슐린주사기에 찔렸어요 피도 조금 났구요 지금은 시간이 없어서 그런데 금요일쯤에 병원을 갈 예정입니다   혹시 가정의학과를 가야할까요 아님 내과를 가야할까요   일반 작은내과에서는 혈액검사에 HCV Ab 결과가 나올까요  아니면 조금 큰병원을 가야할까요 ,가정의학과,저녁마다 속이 안 좋고 복통 증상,일주일 정도 됐는데요  매일 저녁마다 배가 너무 아프고 구역질 날 정도로 속이 안 좋아요  그럴 때마다 카베진  알 먹고 자면 아침에는 괜찮고요  다시 저녁이 되면 동일 증상이 반복됩니다   내과에 가봐야 할까요  요며칠 일자목 통증이 너무 심해서 정형외과에서 타온 약을 먹긴 했는데 그것 때문에 그런 건 아닌 것 같고요      밤에도 공부해야 하는 학생인데  배가 너무 아파서 일상 생활이 힘드네요  ,가정의학과
코로나 음성 질문합니다,  일에 아빠가 확진되시고   일 동거가족인 엄마와 저는 신속항원검사에서  저는 음성  엄마는 양성 판정을 받았습니다  아침에 검사를 받고 나서  시쯤에 갑자기 제가 오한과 동시에 열이     도까지 올라가면서 근육통까지 동반하여  시반쯤 신속항원검사가 가능한 병원에서  신속항원검사를 받으니 똑같이 음성이 나왔습니다     일 아침에도 신속항원검사결과 음성이 나왔는데 음성이 맞는걸까요   ,가정의학과,코로나 증상 미각상실,안녕하세요 일주일 전에 하루 이틀 열이나다가 약을 먹으니 열이 떨어지고  계속 증상이 바뀌다가 오늘 키트 검사로 양성이 나왔습니다      일부터 오늘까지 일주일이 지났는데 틈틈히 병원가서 PCR검사도 하고 집에서도 검사를 했는데 계속 음성이 나오다가 이렇게 양성도 나올 수 있나요   또 어제부터 냄새와 맛이 느껴지지 않습니다   무엇을 먹어도 식감만 다르고 음식의 주요 맛이 느껴지지 않습니다   그나마 느껴지는 건 약간 달다 짜다  음식의 맛이 안 느껴지니 너무 무섭고 음식 맛이 그립습니다   만약 코로나가 완치된다면 미각도 빠르게 돌아올까요  혹은 사례 중에 미각이 돌아오지 않을 경우가 있나요 ,가정의학과
티눈이 점점 퍼지는것같아요  다 제거해야되나요 ,어렸을때부터 양쪽 발바닥 앞꿈치 중간에 티눈이 있었습니다  티눈도 유전인지  엄마랑 똑같은자리에 생기길래 예전에는 그냥 신기해만하고 넘겼습니다  너무 오래되서 이미 깊은 티눈입니다   근데 그이외에 헬스장을 다니기시작한지  년째인데 헬스를 시작한이후로 티눈이 원래있던곳 말고 그주변으로 앞꿈치 엄지발가락쪽 으로 새로 생기기 시작했는데 점점 많아져서 걱정입니다  그냥 두면 원래 있었던 티눈처럼 깊어지고 두꺼워질까봐 제거하긴 해야될것같은데 병원에서 제거하는것도 한번에 안되고 돈만 많이든다고 들었습니다   병원에서 제거하면 새로생긴 티눈들은 대략얼마정도 나올지  번거롭겠지만 집에서 약바르는게 나을까요  원래 이렇게 티눈이 잘생기는 체질인걸까요 ,가정의학과,코로나 증상,제가 지금 목이 아플랑 말랑하는 상태이고 후각은 원래의   퍼센트만 맡아지고 미각은   퍼센트만 느껴져요 코막힘은 없고 그냥 평소보다 후각과 미각이 조금 저하된 느낌이구요 자가진단키트는 음성이 나왔습니다 콧물은 조금 나옵니다 혹시 지금 이 계절에 유행하는 감기나 그런걸까여 아니면 코로나 인거같나요 ,가정의학과
TBPE검사,간호조무사 시험을 보고 나서 가채점후 합격이길래 건강검진을 받아야한다해서 동네 종합병원을 가려고 하는데요 제가 지금 방광염때문이 처방약을 먹고있어요 검사할때 소변검사한다고 무슨 약 먹으면 안된다고 하던데 제가 먹고있는약은 문제가 없을까요 ,가정의학과,코로나 확진 후 기침,제가 코로나   확진이 되었는데요    열이나 오한같은 코로나 증상들은 싹 다 나았는데 기침만 점점 심해지고 있어요    코는 원래 비염이 있어서 막힘이 더 심해졌고요    이제  일뒤면 자가격리 해제인데 그때까지 기침이 계속 되면 어떡하나요   일차랑  일차에는 약을 먹으면 기침도 전혀 안 났는데 이제는 약도 아침 점심 저녁으로 먹고 있는데 더 심해지기만 해요     일째 먹고 있습니다  이러면 자가격리가 풀려도 밖에 나갈수 없나요  기침 멈추는 방법같은 거 없을까요 ,가정의학과
항생제 먹으면 코로나 항체 안생기나요,제가 목감기인줄 알고 병원갔다가 항생제 처방받아서  일동안 먹다가  갑자기 확진됬는데요   항생제 먹으면 코로나 항체가 안생긴다는 썰이 있던데  진짜 안생길까요    일동안 먹었는데  그럼 나중에 코로나 낫고도 이후에 또 걸릴수도 있나요   ,가정의학과,코로나 양성판정자가 같은 근무지에 출근을합니다 ,회사에 양성자가 나와서 단체로 신속항원검사를 했는데 한명이 양성이 나왔는데 음성나왔다고 거짖말하고 pcr검사를 받지않고  회사에 출근중입니다  이사실을 몇명은 알고있지만 상사라 말도못하고 있습니다  어떻게 해야올은건지요 ,가정의학과
코로나검사음성,오늘 인후통 열    도 있어는데 의심증상있어서 했더니 음성인데 안심할수있나요  병원가서pcr  시간소요 되나요  보건소로 가야하나요 ,가정의학과,조현병은 스스로 자각 못 하죠 ,제가 했던 생각들이 다 망상이었음을 들었던 소리가 실존하지 않았음을 알게 됐는데 조현병 증상과 맞아 보여서 걱정했어요 하지만 저 문장도 똑바로 제대로 구사하고 있고 만약 조현병자라면 스스로가 자각하지 못 하겠죠  제가 이런 생각이 든다는 것 자체가 조현병이 아니라는 증거겠지요 ,가정의학과
뒷구리살빼는법 좀 알려주세요,살이 많이 쪄서 도저히 안될거 같아서 살 뺄려고 하는데 뒷구리살이 겁나 안빠지네요  자꾸 팬티가 접히는데    뒷구리살빼는법으로 시술 고민중인데 시술 받으면 확실히 효과가 있긴 할까요 ,가정의학과,미열이 지속됩니다   , 주째 계속          의 미열이 나고 있습니다  코로나인가 싶어 병원에 가 검사도 받아봤는데 코로나는 아니였습니다  열 말고는 다른 증상도 없고 목도 안아프고 콧물도 안납니다  병원에서는 좀 지나면 괜찮아질거라 했는데 나아지지는 않고 계속 종합 감기약을 먹었는데도 열이 내리지 않습니다  병원에서 따로 약을 주지않아 약국에서 사와 먹었습니다 어떡할까요 ,가정의학과
코로나 재감염,안녕하세요 고 학생입니다  월   일에 코로나 확진판정 받고  월  일에 격리 해제되었는데요   주간 증상이 하나도 없다가 오늘 다시 두통  목 부음  기침  열등의 증상이 나타났습니다  주변에 확진된 사람들은 친구들  명정도와 가족들이 최근에 격리 해제되었는데 재감염일수도 있울까요  재감염이라면 재감염인지 아닌지 어떻게 확인하나요  ,가정의학과,턱선 살리는 법좀 알려주세요    ,어지간히 턱선이 거의 안 살아나서 고민인   대 남자입니다   현재    cm   kg정도 되는데요   턱선이 진짜 저보다 키가    cm 더 작고   kg이상 많은 사람들 보다 제가 더 턱선이 훨씬 없어서 고민 입니다     몸은 괜찮은데 유독 턱  볼  얼굴쪽이 심해요   진짜   kg이하까지 빼야 겨우 다른 사람들이랑 비슷하게 되는 수준인데   그러면 무게가 너무 줄어서 좀 그렇더라구요   특정 부위 살 빼는 방법은 지방흡입 외에 거의 없다는데 더 빼는거 말고 방법이 없을까요   ,가정의학과
팍스로비드  일치만 먹어도 되나요 ,팍스로비드  일치만 먹어도 될까요    일치정도 먹고 안먹어도 부작용은없겠죠 ,가정의학과,발톱 멍 곰팡이 질문 사진 주의 ,열흘 전쯤 발톱이 눌린 상태에서 오래 걸어서 엄지발가락에 멍이 들었는데 오늘 보니까 사진처럼 징그럽게 푸른 점  같은 게 여러 개 보이는데 그대로 둬도 괜찮을까요     아프거나 하진 않아요      곰팡이인가요   그냥 피멍인가요      ,가정의학과
팔뚝지방흡입 해볼까 하는데요 ,지금 날씨가 풀려서 살빼고 있는데 팔뚝살이 안삐져서 같이 좀 빼볼려고요 그래서 팔뚝지방흡입을 해볼까 하는데 괜찮을지    아니면 지방분해주사가 더나을지 고민되네요  효과 괜찮다면 비수술로하는 지방분해주사가 나을거 같은데   ,가정의학과,물 많이 마시면 살이 빠진다고 하는데,저는 오히려 물을 많이 마시면 몸  얼굴이 붓는 거 같아요 겨울에 특히 손발이 많이 찬 편이긴 한데 이와 관련이 있나요  물 많이 마시는 게 몸에 안 받는 사람도 있나요   L  L 정도 마시고 있습니다 ,가정의학과
감마티지피   이되어야정상인것같은데,부모님건강을 받으셨는데 감마티지피   이되어야 정상인것같은데 간 질환 의심으로 결과로 나왔는데   이면 심한상태인가요,가정의학과,코로나 의심증상,열은 안나는데 코가 미칠 듯이 간지럽고 예민하고 재채기가 자주 나오고 콧물 가래가 많이 나오는데 코로나 일 수도 있을까요   ,가정의학과
자가키트후 목아픈게 맞나요 내공  ,내일 학교가야해서 자가키트로 검사를 했는데 원래는 증상이 없었는데 검사후 목이 아프네요 원래 이런건가요 ,가정의학과,코로나 완치될 수 있나요   ,확진받고 하루가 지날수록 증상이 하나씩 늘어요   약 처방받고 두통은 나아졌는데 이제는 가래때문이 목이 너무 아파요 목소리도 제대로 안나오고요 앉아서 뭐 먹으려고 하면 속 울렁거려서 못먹겠어여 이거 정말 완치되는거 맞아요     가습기라도 있으면 좀 나을까요 약먹기전에 증상은 설사빼고 다 있었어요  차까지 맞았는데  ,가정의학과
몸이 이상한 것 같아요   ,  대 중반에 아무 것도 못 갖추고 가정을 꾸려   현재는   대 직장인이며 가정이 있고 대학원 박사과정 중에 있는 남성입니다  다름이라니라 몸에 이상징후가 계속 되어 이렇게 글을 남깁니다   외적증상은 머리 왼쪽 전체가 간헐적 두통과 소름 이라고 해야하나요  머리카락 하나 하나가 쭈뼛쭈뼛 거리는 상황이 있구요 점점 간격이 짧아지는 것 같습니다  그리고 목 뒤도 자주 통증이 있습니다   그리고 이 부분은 내외적 증상인데  대화를 할 때 집중의 흐름이 끊기는 느낌을 받습니다  선택적 단어만 캐치를 한다거나 제대로 대화를 못해 가족과도 사소한 다툼이 있습니다     그리고 직장에서나 집에서나 뭔가 해야할 일을 하는데 산만하다고 느껴질 정도로 여러 업무나 상황이 겹치면 놓히거나 까먹거나 해서 불필요한 동선이 생기거나 시간 소모를 하는 일이 잣아졌습니다     제가 집중을 못하는 건지    예전에 비해 이상하네요      건강 고수님들이나 선생님들께서 저 좀 도와주세요   ,가정의학과,디에타민 일주일에 얼마나 빠질까요 ,급하게 동창 친구 결혼식이 얼마 안남아서    디에타민을 처방 받았는데 일주일에 얼마정도 빠질까요     주 복용 예정이에요,가정의학과
편도염인거 같은데 방법  없을까요   ,이번에 코로나 확진이 돼서 격리하고 있는 사람입니다 근데  일전부터 침만 삼켜도 목이 죽을거같이 아프고 가만히 있어도 귀 안쪽에서 피가 나올 거 같고 목도 통증이 심한데 격리라 병원도 가지 못하고 있습니다 방법이 없을까요    ,가정의학과,갑상선 문제인가요 ,제작년에 스트레스를 너무 받았었는지 편도가 심하게 부었었데요 병원을    군데정도 갔는데 다그랬어요  그때 저는 편도 부었을때 물 삼키는거 조차도 힘들었고 밥먹는거 조차 힘들었어요 근데 그이후로 밥먹는거까진 괜찮은데 편도 붓고나서 그 이후로 아직도 물 삼키는게 힘들어요 물을 한번 마실때마다 너무 벌컥 마시게되고 목 안쪽에 뭔가가 막힌느낌  침삼킬때도 침삼키는게 힘들네요   병원을 가봐야되는건 아는데 결과가 안좋게 나올까봐 무서워서 못가고있어요   이런증상 아시는분 있으신가요 ,가정의학과
남자친구 건강,남자친구가 건강검진을 하다가 조금 문제가 있어 다음주에 위내시경  정밀검사를 해요 여자친구로써 해줄 수 있는게 뭐가 잇을까요  그날 전화도 해주고 또 머가 잇을까요 ,가정의학과,코로나 확진,올해 고 이 된 여학생입니다  학교를 이사가게 되서 멀리오는 바람에 전부 새친구 들을 사귀게 되었어요  그래서 지난주  일 동안 반 친구들이랑 친해져 가는 게 너무 즐거웠고요   근데 제 가족 중에 확진자가 생겨버렸고 전 백신을 안 맞아서 학교를 못 가요  pcr 검사도 내일쯤 가능하고요  학교를 못 가는 사이 친구들과 멀어지거나 소외될까 무섭고  내신이나 성적에 문제가 갈지도 무서워요   전 어쩌면 좋죠    ,가정의학과
진통제 교차저방,중 딸이 코로나확진으로 병원 비대면 처방으로 로노펜정 저녁 시에먹였어요  그런데 어제처럼 새벽에 열나고두통으로 잠설칠것같아  약국에서산 크린탈정 자기전  시에 한알먹였는데  괜찮나요,가정의학과,코로나 검사 자가키트 양성,머리아프고 목 쉬고 열나고 몸살인가 하고 혹시 모르니까 자가키트 그거 검사 했는데 양성  줄 나왔는데 지금 바로 보건소에 연락해야하나요  아님 내일 ,가정의학과
겨드랑이 멍울,오른쪽 겨드랑이에 났어요  움직이면 아프고 누르면 아파요  오른쪽 갈비뼈도 아픕니다 멍울이 나는 이유와 치료법 알려주세요 ,가정의학과,코로나 열만,제가  차접종 까지 마친 중학생인데요  어제 부터 열이 거의   도 까지 나는데 진짜 정신도 멀쩡하고 가끔 힘들고 목은 전혀 안아프거든요  그래서 자가키트 검사했더니 음성 나왔는데 코로나 말고 감기일수도 있는거죠  입맛이 없는것도 절대 아니고요  그냥 열만 나요 ,가정의학과
코로나증상인가요   ,어제부터 목이 좀 심하게는아니고 불편할정도로 칼칼하더니 오늘하루종일 감기약을 먹어도 칼칼한게 안낫고 종일 피로하고 갑자기 속이안좋아질라하면서 헛구역질을해요   ,가정의학과,제 발이 지금 거의  년째 이런데 발톱은 멀쩡한거 보면 무좀은 아닌거 같다고 그러는데 뭐 때문에 낫지를 않을까요  ,제 발이 지금 거의  년째 이런데 발톱은 멀쩡한거 보면 무좀은 아닌거 같다고 그러는데 뭐 때문에 낫지를 않을까요  ,가정의학과
어지러움증상,근  년동안 머리가 계속 어지러운데 딱 오후  시쯤부터  시까지만 매일 어지러워요  이유가 멀까요    열은 정상인데 어지러움이 심각하게는 아니에요       타이레놀 먹어도 다음날에 또 어지러워요    ,가정의학과,배꼽때가 돌덩이처럼 박혀있어요,배꼽때가 일반 배꼽때가 아니라 뿌리깊이 박혀있다고 해야하나요      예전에 로션발라서 뽑아보려다가 아랫배가 찌릿하고 아파서 포기했었습니다      대인데 배꼽때 꼈다고 피부과가기도 솔직히 조금 창피한데    이대로 두면 더 안될 거 같아서 병원에 가보려합니다  병원에서 이상하게 안보겠죠     내과 말고 피부과가는게 맞나요 ,가정의학과
헌혈 c형간염 항체 양성,제가 헌혈을 했는데요 검사결과가 c형간염 항체가 있다고 나왔어요  그래서 피를 혈액본부에서 재검을 하니 양성이 또 떠서 폐기했다고 하더라고요  그럼 저는 c형간염 항체가 있는 건가요  제가 도저히 이해가 안 가서 종합병원에 가서 c형간염 검사를 받았는데 거기서는 음성판정을 받았거든요  그거는 효력이 없나요  효력이 있다면 적십자사에 정정신청이 가능하나요  나이가 아직 어려서 좀 심란해서 지식인에 물어봅니다   ,가정의학과,오미크론인가요,  갑자기 몸에 소름이 돋으면서 걷는것도 힘들어짐 잘때    아침에 일어나자마자 목이 매우 아팠음  지금은 많이 나아짐   열을 재진 않았는데 열감 느껴지다가지금은 잠잠해짐   근육통이 오한이 들때 수반되었음  지금은 양호해짐   자려고 누웠는데 코 막힘증세    경미한 두통때문에 잠이 안옴   목 금요일    일전  학원쌤이 코로나확진을 받음  근데 맨 앞자리라 거의 밀접수준임   이 모든증세는  월  일 즉 어제부터 시작됨   이거 코로나 확실할까요     일전 항원검사   월 일 자가키트로는 음성 떴습니다 ,가정의학과
코로나 토,밥 먹은 직후 먹고있는중에 토가 나오려고 해요 코로나 걸린지 오늘부로 이틀째인데 원래 이렇게 토가 나오려고 하나요  빈속으로 있으면 안될 것 같아서 더 챙겨먹으려고 하는데 토가 나오려고 해서 미치겠네요 블랙아웃도  번 있었고 위중증은 아니겠죠 ,가정의학과,갑자기 오한이 심해요,신랑이 갑자기 오한이 심하네요 부들부들 떨고 춥다네요 열은 미열정도 인것같은데   우선 타이레놀한알먹었어요 꿀물도 한잔마시고요 어떻게해야하나요 ,가정의학과
쌍커풀이 갑자기 없어질수 있나요   ,제가 원래 쌍커풀이 있는 사람인데  일에 눈이 부어가지고 쌍커풀이 없어졌는데 일시적으로 이런건가요   아니면 갑자기 사라지는 경우도 있는건가요   ,가정의학과,외이도염있고  만성비염있도 있어요,목이 너무 아프네요 따끔거리고 잠을 못자겠는데 인두염인가요  아님 외이도염때문에 그런건가요 ,가정의학과
혈액 검사 관련 질문 하나 드릴께요 BUN   Creatinine ratio ,안녕하세요 혈액검사 관련해서 질문하나 드립니다   사진 첨부처럼 BUN   Creatinine ratio가 지속적으로 조금 높게 나오는 수준인데     BUN   Creatinine ratio가 몸 어디 부분이 안좋아서 수치가 지속적으로 높게 나오는건가요      해당 수치를 낮출려면 어떤 운동 또는 식이요법을 하면 좋을까요      이정도 수치면 많이 높은 편인가요 ,가정의학과,코로나 pcr검사 음성   아내는 양성,아내랑 밀첩접촉자인데 pcr검사 아내는 양성 저는 음성 나왔습니다 증상은 둘이 비슷하게왔고 저도 오한 두통 기침 목아픔이 있었고 아내도 증상은 비슷한데 코막힘이 심했어요 아내먼저 pcr검사 받고 양성 나와서 저도 받아보니 음성이더라구요 제가 후에 또다시 증상이 나타날수 있나요   아니면  차까지 맞아서 괜찮은건지   ,가정의학과
백신 관련 급해요  ,백신  차를  월 후반 쯤 맞았는데 맞고나선 근육통 말고는 별로 없었는데 갑자기 저번주 수요일  부터 가슴 윗부분이 답답한 증상이 있는 거에요 너무 무서운데 이거 어떡해요  만약 병원 가면 어디로 가야하나요    ,가정의학과,사레에 자주걸리는 이유,아버지가 최근에 사레에 자주걸리시는데 물마시다가나 뭐 드시다가 그러세요  항상 목에 뭔가 가레  같은게 걸린듯이 기침도 자주하고 사레 한번들리면 진짜 숨이 넘어갈듯이 괴로워하시는데 혹시 어떤 질병과 관련되어있을수도 있나요  관련된 검사 받을수 있는건 어떤게 있을까요   담배를 오래 피시긴 하셨어요 ,가정의학과
