0,1,2,3,4,5,6,7,8,9,10,11
위산과다때문에 검사맡을려는데 이거는 위내시경으로,검사맡아야하나요 ,가정의학과,코로나 확진자 화장실에서 환풍기 키면 안되나요 ,다른 세대로 바이러스가 유입되거나 그런 일이 생기지는 않나요     ,가정의학과,코로나 자가키트 검사,저번주 토요일에 만나서 같이 운동만 했던 친구가 있는데 마스크는 절대 안벗고 했고 그 친구는 마스크를 두개 썻고  따로 얘기만 하고 집을 바로 갔는데 그 친구가 화요일에 확진이 됐다고 말하길래 저는 바로 자가키트 사서 현재  일차까지 총 매일  번의 검사를 양쪽   번씩 너무 찔러서 조금 피가 묻어나올정도로 찌른 결과 음성입니다 몸 상태는 제가 춤을 추는 사람이라서 원래 있던 근육통이 있고 열과 두통이런거 절대 없고 요새 제가 반팔에 그냥 패딩을 입고 나가거나 땀을 흘렸는데 바로 차가운 공기를 맞은 적이 많거든요   그래서 목감기처럼 목이 불편한것 뿐인데 괜찮겠죠   ,가정의학과,몸무게가왜증가할까요 , 개월동안백수로 집에있다가  주일동안  KM걸음   취업한지 일차인데  일동안 KG졌더라구요  하루 끼 병원구내식당 먹고 그외에 콜라    L한병정도만 먹습니다  물은하루에 L정도먹고요 취업 일차  일차에는거의 리터정도먹음   갤럭시워치로보니 출근해서 퇴근할때까지 약   KM를걷더라구요  집에오면 씻고바로자구요  야식도안먹고 하루에 KM정도 움직이고 병원구내식당 끼   콜라 작은사이즈한병만먹는데  왜 몸무게가 올라갈까요  ,가정의학과
총콜레스테롤,헌혈하고 피검사 결과 받았는데 총콜레스테롤 수치가    미만이 정상인데 딱    이 나왔더라구요     만  세인데 총콜레스테롤이    이면 높은 수치 인가요   높은거라면 높게 나오는 이유가 뭐죠  아빠가 고지혈증이 있으시고 콜레스테롤 수치가 높으 신데 유전적인 요인일까요   찾아보니 비만이 요인이 되기도 하는거 같은데 저는    에    정도로 비만은 아니고 오히려 마른편입니다       피는 정상수치 살짝 벗어난건데   버려지나요  저 정도는 그냥 쓰나요 ,가정의학과,코로나 치료,저희 어머니께서 연세가 좀 있으신데   세   월   일쯤 부터 많이 아파하시더니  월  일에 코로나 확진을 받으셨습니다 그런데 지금도 너무 힘들어 하시구요 백신은  차까지 모두 맞으신 상태입니다 병원 입원치료를 여쭤보니 병원에선 받아주지 않는다고 하시구요 혹시 입원치료를 받거나 할 수 있는 방법이 있나요 ,가정의학과,원문 사진의 제품이 두유인지 가슴종양이있는 여성에게 안좋은지 궁금해요 ,여자친구가 아침마다 식사를 못하고 출근을 해서 뉴케어 제품을 사주려고하는데요  두유제품이 식물성 에스트로겐유사체가 있다고해서 가슴종양이 있는 여성에게 좋지못하다는 설이 있더라구요   유사과학이나 검증되지않은건 믿지않지만   혹시나해서요  여자친구는 엽상종양  섬유선종을 둘다양성  발견해서 절제를 했었거든요  재발할까봐 신견을 많이 쓰는데 사진의 제품이 두유인지 섭취해도 되는지 알려주세요 ,가정의학과,코로나  차 접종 이후 두통 관련 질문드립니다,어머니께서 코로나 부스터샷  차 접종을 화이자 백신으로   월 경에 맞으셨습니다   그 이후로 지금까지 자주 컨디션이 좋지 않고  두통이 있다고 말씀하셔서 걱정되는 마음에 질문 드립니다   특히 두통이 자주 생기는 것 같은데  병원에 가서 검사를 받아보는 것이 좋을까요      차 접종을 받고 시간이 꽤 흘렀음에도 왜 이런 증상이 나타나는지 질문 드립니다    내공     드립니다  ,가정의학과
산소포화도가    인데 괜찮은건가요  코로나확진되고 해제된지 일주일이 지났습니다  그런데 갑자기 어제부터 기운이 없도 현기증이 나고 머리가 핑핑,산소포화도가    인데 괜찮은건가요  코로나확진되고 해제된지 일주일이 지났습니다  그런데 갑자기 어제부터 기운이 없도 현기증이 나고 머리가 핑핑돌고 계속 미열이 있습니다     이구요    오른쪽눈이 안구건조증이 있긴한데 좀 뿌옇게 보여요,가정의학과,LDL 수치 다이어트,올해   살인 여성입니다  키는      몸무게는   키로정도 됩니다  이번에 건강검진을 받았는데 총 콜레스테롤 수치가    이라고 하더군요   LDL만    이고요   비만도 아니고 술도 잘 안 마시고 군것질도 잘 안 하는데 의사선생님도 도저히 설명이 안 된다며 일단 운동을 늘려보라고 하시긴 하셨습니다  최근 약  달정도 다이어트를 하긴 했습니다  기초대사량 부근으로 먹었구요  한 달에 한 번 정도는 좀 많이 먹은 날도 있습니다만  그게 지속되지는 않았습니다  식단은 군것질 거의 안 하고 탄수화물도 거의 안 먹었고 닭가슴살  두부  요거트  샐러드 등등 지방도 굉장히 적게 먹었어요  기름진 음식을 많이 먹었으면 모를까 혹시 이렇게 많이 안 먹는 게 콜레스테롤 수치를 높일 수도 있는건가요 ,가정의학과,비만수술 질문,키       몸무게    고도비만입니다 비만이 된 후로 스트레스를 먹는 걸로 풀어서 식이조절을 하기가 어렵고 저번에 인바디에서 근육량이 적고 체지방이 많이 나와서 운동하기도 힘듭니다 아무래도 비만수술을 해야 될거 같은데 위절제술 이라는걸 해보고 싶습니다 제 신체로 위절제술 같은 수술이 가능할까요 ,가정의학과,오한 구토 잔뇨감,저희 엄마께서 요즘 배에 맨날 가스가 차고 잔뇨감을 느끼셨어요 그러고 오늘 아침에 구토까지 하시고 오한까지 왔는데 왜 이러는거고 뭘 해야하는지 알려주세요   약을 뭘먹어야하죠 ,가정의학과
B형 간염  차 예방접종과 코로나확진 관계 질문드려요 ,안녕하세요    대 남자입니다   지난해 말 건강검진 시 B형간염 항체가 없다는 결과가 나와서  그전까지는 미약하게 있다고 나옴    월  일경 B형 간염  차 예방접종을 하였고   월  일  차 예방접종을 할 예정이었습니다   그런데   월  일경 코로나 확진판정을 받아  월  일 B형간염  차 예방접종을 하지 못하였고   월   일 금  현재까지도  차 예방접종을 하지 않고 있습니다   격리기간   격리후  주일 정도는 몸상태를 지켜봤음   현재 전혀 몸에는 이상이 없는 상황인데     내일인      토 에  차 예방접종을 맞아도 될까요      원래  차와  차의 간격이 한달로 알고 있는데  주정도가 된 상황입니다  그래도 괜찮을까요      이왕 이렇게 된거 몇 달 더 지켜보고  차부터 다시 맞을까요    의사 선생님 답변 주시면 정말 감사하겠습니다 ,가정의학과,손목 체육시간,체육시간에 하키를 하다가 거의 날라가면서 넘어졌거든요    체육 할 때는 괜찮았는데 시간 지나니까 갑자기 손목이 살짝 떨리면서 폈다 쥐엇다 할 때 아프고 뒤로 살짝만 꺽어도 아프고 앞으로 꺽어도 아프고 진짜 연필만 들어도 아픈데 뭐죠 뼈에 문제가 있는 건 아닌 것 같은데 인대에 문제가 있는건가요    꼭 병원 가야하나용   ,가정의학과,백신 피로감, 차 맞은지 한참지났는데 왜이렇게 피로감이 심한거죠     평소에는 알람들으면 눈 떠졌는데 백신 맞고난 뒤로는 알람소리가 들리지도 않고 일찍자도 늦게일어나게 됩니다  이것도 백신 부작용 인가요 ,가정의학과,잘때 팔 무감각,잠을 이상하게 자서 그런지 요새 잠을 자고 일어날때 쯤에 팔이 무감각으로 변할때까지 제가 제팔을 누르고 있어서 혹시 그 사이동안 세포나 조직괴사가 일어나고 그러나요  인지하고 몇초뒤에 움직이면 돌아오긴 합니다,가정의학과
발톱이 빠질려해요,발톱이 흔들리고 아프진 않는데 어떻게 해야하나요  당겨서 뽑으면 아플까요  양쪽 발이 다 그런데 무좀때문인가요 ,가정의학과,코로나 확진 소독,아기랑 저랑 둘이 코로나 확진이 되어서 자가격리중 입니다 요즘에는 소독도 안해주신다해서 집에 있는 소독제를 뿌리고 있긴 한데 빨아서 제손으로 접어 서랍에 넣은 옷들과 냉장고속 안건들인 반찬들이나 이런것들은 어떠케 소독을 하거나 소독제를 겉에 뿌리면 바이러스가 다 죽어서 일주일 뒤 먹어도 되고 입어도 되는건지 아니면 손이 안 닿았어도 버리나요,가정의학과,식욕억제제 디에타민 먹고 정신건강 문제,작년 초부터 여름까지 꾸준히 다이어트약 디에타민을 먹었는데요 그 이후로 환청 환각 불안 등 조현병 초기 증상이 있었습니다  다행히 다이어트 약이 원인이었다는 것을 알고 치료하여 이제 조현병 증세는 없는데요  년이 지난 지금까지도 우울  무기력  긴장 등의 증상들이 조금 남아있어요 그래서 말인데 디에타민으로 안좋아진 정신건강을 다시 좋게 회복할 방법이 없나요  뇌신경을 건강하게 만드는 약이나 음식 그리고 정신건강에 좋은 생활습관 등을 알려주시면 감사하겠습니다 ,가정의학과,코로나 검사결과   ,어제 오후  시쯤에 검사를 받았는데 오늘 몇시쯤 결과가 나올까요      양성이면 더 늦게 나오나요  ,가정의학과
뱃살지방흡입 많이 아플까요   ,뱃살이 너무 많아서 스트레스입니다   다른 곳은 그래도 좀 마른 편인데  뱃살이 너무 거슬리네요    그래서 뱃살지방흡입 알아보는 중인데요  효과는 있을까요    제가 아픈걸 잘 못참는 편이라   많이 아플지도 궁금하네요   뱃살지방흡입 해보셨거나 잘 아시는분 있으면 답변 부탁드리겠습니다  ,가정의학과,코로나 입원하는 법,코로나에 걸렸는데요 가슴통증이 있어서 폐렴이든 뭐든 검사 해보고 싶은데 어떻게 하면 될까요  보건소에 말하면 입원을 시켜주는건가요   입원하는 경우가 궁금합니다    가슴통증 검사만이라도 못받을까요 ,가정의학과,백신 부스터샷 화이자  접종 후,첫 날에는 밤이 되서야 팔이 뻐근한 느낌뿐 괜찮았는데 다음날 아침이 되니 머리가 깨질듯이 아프고 열이 나서 타이레놀을 먹고 얼음팩을 이마에 두고 자고 일어나니 두통도 없어지고 미열만 남아있었는데 저녁이 되니 갑자기 두통이 또 와서 약을 먹고 씻고 누울 준비를 하고 나니 갑자기 추워지면서 어지럼증과 피가 안통하는 느낌이 있어요 병원에 가봐야할까요 ,가정의학과,만성피로에 대해 질문,제가 올해   살인데요    나이가 어린데도 만성피로가 올수있나요  제가  년더넘게쯤 됬는데 자도자도 잔거같지도 않고 제가 하루에   시간은 그냥 자거든요 그러면 개운해야 되는데 전혀 그런것이없고 만성피로에 대해서 쫌 알아봤는데 머리아픈것도 있고 앉았다 일어나면 머리어지럽고 하는것도 있고 만성피로 상담받거나 치료받아야되면 어디병원으로 가야해요 ,가정의학과
뱃살지방분해주사 효과가 어떤가요 ,진짜 뱃살이 다 분해되면서 쏙 들어갈까요    제가 뱃살만 빠지면 체형은 좀 괜찮아질거 같은데 다이어트로는 너무 어렵네요    뱃살지방분해주사 맞으면 효과가 드마라틱하게 볼 수 있을지    그리고 뱃살지방분해주사 맞으려면 어떤걸 알고 있어야 하는지도  전문가님께서 알려주시면 정말 감사드리겠습니다   ,가정의학과,골밀도 검사,안녕하세요 골밀도 검사중 모르고 주머니에 휴대폰을 넣고 촬영했는데요  사진에는 찍히지 않았다고 하셨는데 소지한 휴대폰이 건강상 유해한 영향을 줄 수도 있을까요 ,가정의학과,올리지오와 써마지 FLX 중 고민이에요 ,  대가 되니까 진짜 관리가 필요하더라구요 그래서 피부과에 갔는데 저는 지방이 없어서 그런지 올리지오 리프팅을 추천해주시더라구요 올리지오는 써마지 국산버전이라고 하는데 아무래도 효과에서 큰 차이가 있을 것 같아서    관리 차원으로 올리지오와 써마지FLX 중 뭘 선택해야 좋을까요  좋은 답변 부탁드립니다 ,가정의학과,자고일어나면 개운하지가 않아요,원래 기초체온이 높은건지   도 초반대를 늘 유지합니다   그래서 그런지 늘 몸이 힘드네요   또 자고일어나면 개운하지가 않아요  늘 몸이 무겁고 몸안이 꼭 열이있는거같고 자는동안 후끈되고    자면서 땀은 조금  나는거같고 몸과 닿았던 바닥요나 베개 뜨끈합니다 아침에 열을 재면   도 초반대에요  이렇게 된지 좀 됬는데 왜그럴까여   자고일어나면 개운하지가 않으니 늘 몸이 힘들고 기분도 안좋고 그러네여,가정의학과
얼굴살빼는법 급한데요,최근에 얼굴살이 너무 많이 붙어서 얼굴살빼는법 찾아보고 있습니다  얼굴살빼는법 혹시 정말 효과적인 방법이 있을까요  급해서 질문 남깁니다,가정의학과,얼굴지방흡입 고민됩니다,곧 결혼을 앞두고 있는데  사진을 찍어보니까 옆에 얼굴살이 너무 보기 싫더라구요   얼굴지방흡입 하면 괜찮다고 해서 알아보고는 있어요  혹시 결혼식이 한달정도 남았는데  괜찮을까요  얼굴지방흡입 해보신분 계시나요  ,가정의학과,오타모반 치료 문의드려요,기미치료 받으러 갔다가 오타모반이라고 진단 받았습니다  검색해보니 오타모반과 오타양모반이 있는데 차이가 무엇인지    오타모반 치료하는 방법과 깨끗하게 치료가 되는지 궁금합니다  진짜 얼굴에 오타모반 때문에 매번 진한 메이크업으로 피부트러블도 생기고 스트레스가 말도 아니네요  꼭 치료 방법도 알려주세요 ,가정의학과,코로나 격리 해제  내공     ,가족중에 엄마랑 저만 키트로 양성 나와서 격리중인데 물어봐요      엄마 코로나 확진 판정이 어제 났어요  그럼 다음주 토요일까지 가족들은 밖에 못 나가죠     제가 원래 아침에 일어나면 목이 땡땡 부운것처럼 아프고 기침도 나오는데 어제 기침 조금 하고 자다가 일어났는데 오늘은 목이 안 아프더라고요  열도 오한도 콧물도 안나오고 코막힘도 없어졌어요  근육통은 아얘 없었고 기침만 좀 나오는 정도인데 거의 다 나았다고 봐도 될까요     코로나 걸린건 제 예상으로는 학원이 서울에 있어서 버스 탔을때 걸린것 같은데 그게 저번주 토요일이었거든요     일 고생하고 나니까 몸도 원래대로 돌아왔어요  그리고 지금은 코막힘도 없고 집에서 심심하면 노래도 부를 정도인데  pcr 검사를 어제 해서 그런데  밖에 나갈 수 있는 기준이 걸린날부터 열흘인가요  아니면 pcr 검사한 날짜로부터 열흘인가요  빨리요   예비 고 이라 지금 대회준비 한참 하고 있었는데 갑자기 이렇게 돼서     ,가정의학과
코로나 걸렸었는지 검사받을 방법도 있나요 ,무증상 혹은 가벼운 감기 증상으로 넘어갔던 경우에 내가 코로나에 걸렸었는지 확인할 수 있는 방법도 있나요 ,가정의학과,초등학생 코로나 증상,안녕하세요 저는  학년이구요 초등학생입니다  수요일 오후에 실시한 코로나검사키트로 음성나왔고요 어제 저녁부터 머리도좀 아프고 배도아팠는데 지금은 머리아프고 따뜻하게입어도 춥고 근육통이 좀 심하고 입맛도 없고 또 뭐 먹으니까 배아파요 근데 또 열은 없어요 등교가능 한가요 ,가정의학과,  살인데 콜레스테롤 총수치가    이 넘습니다,나쁜 콜레스테롤만    이 훌쩍 넘게 나왔어요   피검사로 할 수 있는 검사는 다 해봤는데 정상 체중에 절대 비만도 아니고 당수치 간수치 전부 정상으로 나왔습니다  가족 중에 당뇨나 심장병 환자 아무도 없어서 가족력도 아니고요  병원에서도 이유를 모르겠다고 하더라고요  인터넷 봐도 전부 뭔가에 이상이 있어서 콜레스테롤이 높던데 저는   살에 다른건 다 정상이고 콜레스테롤만 비정상적으로 높습니다 대체 왜 그럴까요 ,가정의학과,동거가족 확진,제가 학원에서 확진자가 나와서 저번주 일요일에 자가진단을 했는데 음성이 떴어요  근데 목감기증상인지 코로나인지 모르겠지만 기침을 하고 엄마도 그러길래 어제 또 자가진단을 했는데 엄마는 양성이고 저는 음성이 떴어요  그래서 언니도 혹시 모르니 어제 자가진단을 했는데 음성이 떴어요  엄마는 pcr검사를 했는데 오늘 아침 양성문자를 받았습니다  그래서 오늘 언니랑 같이 pcr검사를 하러 갈건데 전날 다 마스크끼고 따로 잤거든요  저 어제 엄마랑 검사받으러 갔는데 음성니왔거든요  지금 확진됐을 가능성이 높을까요    그리고 엄마는  차접종까지 했고 저는  차접종까지 한 상태인데 자가격리는 언제까지 해야 할까요 ,가정의학과
코로나 증상 잠,코로나 걸렸을때 원래 잠이 많이 오나요  눈만 감으면 잠이 쏟아져요,가정의학과,아니 어제뷰터,아니 어제아침에 목이 쬬금 아팟엇는데  시 쯤 되니가 갑자기 머리도 아푸고 열도 먼가 나   는거같은거에여    근데 학원가야해서 갓는데 진자 넘나 아파서 영혼가출한상태로 공부햇다 그리고 집에와서 열재니까     도인가 그랫어요 그리고 열이 좀 떨어지고 갠차나서 언심햇는데 자고 알어나니까 열도 좀 오르고 목도 아프고 콧구멍도 막히고 난리임 hoxy  코로나 걸렷을가요  오늘 검사하긴할건디 불안  띠   ,가정의학과,열이 안떨어져요,    도 이상으로 일주일동안 열이 계속 나고 있어요 오전에는     도였다가 오후가 되면 될수록 체온 점점 더 높아져요 해열제를 먹어도 효과가 잠깐 있을뿐 시간이 지나면 원상복구 돼요  왜 이럴까요  열때문에 일주일동안 집밖에 못나가니 너무 답답하네요 ,가정의학과,소화불량과 피곤함이 연관이 있나요    정신을 못차리게 피곤해요,안녕하세요  담낭에 작은돌이 많은데 아직 절제 수술을 안했는데요 최근에 담도에 돌이 껴서 ERCP내시경으로 꺼냈고 시술 후 십이지장에 피가 나서 한번 더 입원해서 치료를 받았었어요     그런데 퇴원하고 한달이나 지난 지금까지 이상하게 몸이 너무너무 피곤합니다    소화기관이 전반적으로 건강하지 않은 상태라서 피로감을 느낄수도 있는건가요    처음 퇴원하고나서  소화가 안되고 명치랑 담낭부위가 콕콕 쑤시고 아프면서 밥만 먹으면 잠이 쏟아져서 힘들었었는데 현재 통증은 많이 줄었지만 피곤함은 여전합니다    밤에 잠을 못자는것도 아니고    시간씩 푹자는데도 일상생활이 힘들정도로 너무 피곤합니다     올해 중요한 시험이 있어서 공부도 해야하고  체력때문에 운동도 해야하고 마음은 급한데 병든 닭처럼 계속 졸리고  항상 눈이 침침할 정도로 피곤해요    어깨랑 등도 쑤시고 아프구요     이게 혹시 담석의 영향일수도 있나요  담석이 또 낀걸까요    저번에도 이렇게 피곤하다가 간수치가 엄청 올라서 돌이 낀걸 알았거든요   그렇다기엔 소변색도 괜찮고 그때같은 통증도 없었는데요    입원 퇴원 반복하면서  짧은 기간동안 체중이  kg정도 줄었는데 그래서 체력이 떨어져서 그런것인지    십이지장 출혈때문에 HB수치가  까지 떨어지긴 했었지만 다시   가까이 돌아온걸 확인했으니 빈혈도 아닌데  왜이렇게 피곤한지 모르겠어요      아니면 건강에 다른 문제라도 있는걸까요  그렇다기엔 지난달에 입원했을때 병원에서 온갖 혈액검사랑 ct 엑스레이 다 찍었었는데 담석증에 관한 얘기 말고는 별말씀이 없었어요     담낭수술을 하더라도 시험 끝난 연말에 하고 싶었는데  담석때문에 이렇게 피곤한거라면 빨리 절제수술을 해야할까요   생활하기가 넘힘들어요        ,가정의학과
코로나 확진 확인방법,안녕하세요 요즘 코로나시대에 지치며 슬슬 무뎌지고 있네요  문득 궁금한게 생겨서 지식인에 올려봅니다     만약 나도 모르게 확진됬고  무증상 이 후 완치됬다면 pcr 검사를 하면 전에 코로나 걸렸었는지 확인 가능한가요    차 백신부터는 접종하고싶지 않습니다  감사합니다   ,가정의학과,목 칼칼함 코로나 확진,제가 오늘 급식시간에 밥을 먹고 믈을 마실려고 했더니 정수기가 없어서 지금방금 물 마셨는데  아까전부터 물 마시기 전까지 기침이 나오더라구요  물 안먹어서 목이 칼칼해서 그럴까요  코로나 자가키트는 음성입니다  그리고 요즘 환절기라 콧물이 나는것도 정상이죠   ,가정의학과,열감 질문,체온계로 측정하면 정상인데 느끼기에만 열감이 있는 것처럼 후끈거리네요 목뒷덜미중심으로 느껴지는게 뭔가요,가정의학과,코로나확진후  차접종 문의 합니다 ,    년  월 일 코로나 확진 판정을 받고 자가격리중입니다   인 자가격리중이다 보니 아무런 정보력도 없고 일상으로 돌아갈려니 불안한맘으로 문의 합니다  제가  차접종완료후 코로나확진이 되었는데  차접종은 언제쯤 하는게 최선이고  개월 지나서 백신접종하면 그사이에 코로나 재확진은 되지 않는지도 궁금하고 코로나 소독이 잘 되지 않아도 코로나 재확진이 가능한지 궁금합니다  정보력이 너무 없다보니 너무나 답답합니다 ,가정의학과
백신맞고 코로나증상,저랑 하루종일 붙어있던 친구랑 어제 학원마치고 같은 증상을 느꼈고 둘 다 집가서 두번의 자가진단으로 음성이 나왔습니다 다음날 아침 저는 증상이 호전되었고 친구는 여전히 심했기에 친구는 병원에서 검사를 저는 등교했습니다  그리고 전   시에 화이자접종을 했고 친구는 양성이 떴습니다  문제는   시쯤부터 두통과 근육통 코막힘 피로 기침 아주 적은빈도  등 증상이 밀려옵니다  이러면 백신을 접종한 상황에서 코로나 신속항원검사를 해야하나요  아니면 백신을 접종해서  무조건 양성이 나와서  하는게 의미가 없나요 ,가정의학과,코로나 걸릴 가능성,남자친구랑    에 만나서 밥 같이 먹고  그 다음날인     오후부터 목이 너무 아프다고 하더니 몸살같이 아프다고 했습니다  이날 저녁 자가키트 음성  그리고 오늘     아침에 자가키트 하니 양성 나와서 PCR검사 후 확진 판정 입니다  저는 지금 아무런 증상이 없는데 걸렸을 가능성이 얼마나 되나요  ,가정의학과,코로나부작영,어제맞앗는데 팔도안아픈데 왼쪽팔에맞앗는데 오른쪽 목이 잠 잘못잔거 처럼 담걸인거처럼 아파요왜그런건가요  금방괜찮아질까요 목이안돌아가요   ,가정의학과,코로나 완치 후 백신 접종,백신  차까지 맞은 상태에서 양성 확진 받았다가 이제 완치했는데   차 백신 맞는것 재감염 예방 효과 있나요   있으면 맞고 없으면 안맞게요  이미 양성 되었다가 완치 받은 것만으로도 재감염 예방 효과 있나요 ,가정의학과
친구 코로나 걸렸는데 걸릴확률,친구가 코로나에 걸렸는데 그 친구랑 평소에 마스크 벗고 지내고 얘기할때도 마스크 안쓰고 같은 병으로 물도 마셨는데 코로나 걸린 확률 높겠죠    병원에서 검사  번 하고 자가키트  번 했는데 다 음성이었어요 백신  차까지 맞았구요 만약 코로나확진인데  차백신 맞아도 되나요   증상도 목에 뭐 끼는 느낌 빼고는 딱히 없어요 pcr검사도 못하니까 잘 모르겠어요    ,가정의학과,배가 왜 아플까요, 월  일 밤   시쯤부터 배가 좀 아팠는데 자면 괜찮아질거라고 생각해서 자고 일어났더니 괜찮았는데  월  일 낮에 떡볶이 먹었는데 배가 아파서 편의점에서 약 사다 먹었어요 그냥 체한거같아서 체한약 달라고 말해서 약국에서 보라색 동그란거 여러개 들어있는거랑 초록색 병 줘서 먹었더니 괜찮아졌구요 근데 지금 또 배가 살살 아프네요 밥 먹었는데 배에서 가끔 꼬르륵 소리 나구요 윗배가 아프다 아랫배가 아프다 그런건 아니고 전체적으로 아파요    집에 속청이라는 약이 있어서 그거 먹으려고 하기는 하는데 이유가 궁금해서요  중 이고 술 안먹고 밥도 잘 먹슴당 이유 알랴주세요,가정의학과,코로나양성,안녕하세요 본인은아닌데 아는지인이양성판정 받고 현재 자가격리중인데 몸은 현재 괜찮아졌고 일주일 격리했는데 회사에선 음성확인서를 들고와야 출근할수있다고하는데요 코로나가양성나오면    개월정도까지는 검사하면 몸이완치되도 계속 양성으로나온다던데 어떻게해야하나요 ,가정의학과,격한 운동 황달 증상  길버트 증후군  ,제가 어제 무리하게 스쿼트를 했는데요  스쿼트 할 때 머리에 피가 쏠릴 정도로 심하게 했습니다  점심 부터 눈이 따가워서 거울로 눈을 보니 황달 증상이 살짝 있는 것 같더라구요  격한 운동하면 일시적으로 황달 증상이 일어날 수 있나요  길버트 증후군 처럼  ,가정의학과
코로나 자연치유,코로나에 걸리면 병원이나 약국에 코로나 증상 말하고 약 먹으면서 일주일 정도 격리 들어가고 끝나잖아요 일주일 동안 약 먹으면 알아서 코로나가 나아지는 건가요  다른 치료법 없이 ,가정의학과,코로나 밀접접촉자  검사 질문,제가 친구랑 어제 밥을 먹었는데 그 친구가 지금 상태가 이상해서 자가키트 해봤는데 음성나오고 신속항원검사 를 병원에서 했는데 양성이라는거에요 그래서 pcr검사하고 결과기다리는 중인데 만약 이친구가 양성이면 저도 밀접접촉자로 분류되어 pcr검사를 해야하나요  자세히 좀 알려주세요 학교를 갈수 있는건지 뭔지도    ,가정의학과,백신 부작용인가요,백신맞은 팔 왼쪽이 자다가 일어나면 마비가 되어있어서 감각이 없고 바위덩어리처럼 굳어있는데 몇번 움직일려고 움직이다보면 금방 풀려요 거의   초이내로  꼭 자다가 일어나면 그러네요 벌써  번째인데 부작용인가요 ,가정의학과,저희 가족이 단체로 코로나에 걸렸다가 지금 저 빼고 다들 격리 해제됐는데 저도 병원에서   일 있다가 아까 새벽에 집 왔거든요   근데 걱정되는,저희 가족이 단체로 코로나에 걸렸다가 지금 저 빼고 다들 격리 해제됐는데 저도 병원에서   일 있다가 아까 새벽에 집 왔거든요   근데 걱정되는게 있어서 남겨봐요     가족 한 명씩 코로나 걸릴 때 아빠가 음성이었다가 양성 되기 직전에 제 노트북 썼는데 그 후로 소독,가정의학과
코로나 완치 후 다른 사람에게 바이러스 전파,코로나가 완치되면 항체가 생겨 재감염될 가능성이 낮다고 하는데요      또 다른 말로는 완치자가 다른 사람 에게 바이러스가 옮아 자신의 몸 속에 들어와도 항체가 있어 자신은 안 걸릴 수 있지만 그  옮은 바이러스를 다른 사람 에게 퍼뜨릴 수 있다는 이야기도 들었습니다  이것이 사실인가요      그렇다면 만약 저와 저희가족이 최근에 확진 후 완치가 되었더라도 저희 가족 중  명이 외부에서 새로 바이러스를 옮아오고 저에게 바이러스를 옮기게 되면 저희 가족은 이미 항체가 생겼기 때문에 재감염될 가능성은 낮지만 제가 친구들을 만나게 될 경우 그 친구들에게  외부에서 옮아온 전염력이 있는 바이러스를 전파할 가능성이 있나요     결론은 완치 후에 전파력이 없다 하더라도  새로운 사람에게 바이러스를 옮았다면 전파력이 있는 바이러스를 가지는 것이 아닌지 궁금합니다 ,가정의학과,코로나인가요  ,기침나고 목이 살짝아파요 자가키트로 검사 해봤는데 음성이예요 목감기랑 코로나랑 너무 헷갈려요 ,가정의학과,코로나 자가키트 음성,저희 언니가 코로나 양성에 무증상이였었는데 집에서 자가격리 했었거든요 근데 집이 좁아서 어쩔수없이 접촉을 많이 했는데 요즘 찬 바람도 많이 맞았었었어서 콧물 기침 목 아픔 두통 재채기 열 있었었는데 자가키트 해봤더니 음성이에요 언니는 지금 코로나 걸리고  주 지났는데 미각이 없대요 제가 자가키트 면봉 코에 쑤셔넣었더니 눈물 나고 재채기 했는데 잘 쑤셔넣은거맞겠죠  증상이 있어서 불안해요 자가키트 이제 집에 없어서 또 할수도 없고  ,가정의학과,런닝머신 이후 두통,제가 이번에 런닝머신 타기를 합니다 힙으뜸님의 런닝머신 타기를 따라하고 나면 두통이 심합니다  그리고 계속  약  분   분   가만히 있다보면 괜찮아지고요 이거 왜이런걸까요  참고로 운동을 잘 안하다가 시작했습니다,가정의학과
코로나 격리 후 바이러스 전파,코로나에 걸렸다가 내일 일주일이 지나 격리가 해제되는데요   내일 학교를 가야하는데 아직까지 기침이 나오고 목이 살짝 아프고 가래가 낍니다  이상태로 내일 학교를 가도 친구들한테 전파가 될까요   기숙사학교라서 내일 저녁에 기숙사에서 자야하는데 같은방 친구들한테 피해를 끼칠까봐 걱정됩니다 ,가정의학과,Pcr 검사 아픈가요 ,가족중에 확진자가 있어서 pcr을 받아야 하는데 pcr 많이 아픈가요    ,가정의학과,피부암일까요 ,초등학교  학년 엄지발톱 검은점이 커져요  통증은 없구요  다쳤던 기억이 없어요  피부암은 아닌가요 ,가정의학과,링거맞는법,혹시 일반 가정의학과에서도 링거 맞고 싶다고 하면 놔주나요  비타민 링거 있나요 ,가정의학과
